전체: 2156
완료: 937
미완: 1219

CT:  Current Time
ET:  Elasped Time
ETC: Estimated Time of Completion

                                CT                      ET      ETC
processing data ... 77/1219     2024-02-22 15:54:00     1.79    2024-02-22 16:28:09
processing data ... 78/1219     2024-02-22 15:54:03     2.97    2024-02-22 16:50:35
processing data ... 79/1219     2024-02-22 15:54:04     1.4     2024-02-22 16:20:40
processing data ... 80/1219     2024-02-22 15:54:06     1.51    2024-02-22 16:22:45
processing data ... 81/1219     2024-02-22 15:54:07     1.01    2024-02-22 16:13:11
processing data ... 82/1219     2024-02-22 15:54:08     1.5     2024-02-22 16:22:28
processing data ... 83/1219     2024-02-22 15:54:09     1.34    2024-02-22 16:19:30
processing data ... 84/1219     2024-02-22 15:54:12     2.44    2024-02-22 16:40:25
processing data ... 85/1219     2024-02-22 15:54:14     2.26    2024-02-22 16:36:55
processing data ... 86/1219     2024-02-22 15:54:15     1.32    2024-02-22 16:19:13
processing data ... 87/1219     2024-02-22 15:54:17     2.04    2024-02-22 16:32:48
processing data ... 88/1219     2024-02-22 15:54:19     1.26    2024-02-22 16:18:06
processing data ... 89/1219     2024-02-22 15:54:20     1.37    2024-02-22 16:20:13
processing data ... 90/1219     2024-02-22 15:54:21     1.29    2024-02-22 16:18:35
processing data ... 91/1219     2024-02-22 15:54:23     1.92    2024-02-22 16:30:26
processing data ... 92/1219     2024-02-22 15:54:25     1.27    2024-02-22 16:18:17
processing data ... 93/1219     2024-02-22 15:54:26     1.84    2024-02-22 16:29:03
processing data ... 94/1219     2024-02-22 15:54:28     1.79    2024-02-22 16:28:01
processing data ... 95/1219     2024-02-22 15:54:30     1.93    2024-02-22 16:30:36
processing data ... 96/1219     2024-02-22 15:54:31     1.28    2024-02-22 16:18:32
processing data ... 97/1219     2024-02-22 15:54:34     2.58    2024-02-22 16:42:53
processing data ... 98/1219     2024-02-22 15:54:35     1.08    2024-02-22 16:14:42
processing data ... 99/1219     2024-02-22 15:54:37     1.8     2024-02-22 16:28:18
processing data ... 100/1219    2024-02-22 15:54:38     1.34    2024-02-22 16:19:39
processing data ... 101/1219    2024-02-22 15:54:40     1.72    2024-02-22 16:26:39
processing data ... 102/1219    2024-02-22 15:54:42     2.02    2024-02-22 16:32:19
processing data ... 103/1219    2024-02-22 15:54:44     1.79    2024-02-22 16:28:01
processing data ... 104/1219    2024-02-22 15:54:45     1.59    2024-02-22 16:24:24
processing data ... 105/1219    2024-02-22 15:54:46     1.07    2024-02-22 16:14:36
processing data ... 106/1219    2024-02-22 15:54:48     1.2     2024-02-22 16:17:04
processing data ... 107/1219    2024-02-22 15:54:49     1.79    2024-02-22 16:27:54
processing data ... 108/1219    2024-02-22 15:54:51     1.27    2024-02-22 16:18:19
processing data ... 109/1219    2024-02-22 15:54:54     3.43    2024-02-22 16:58:23
processing data ... 110/1219    2024-02-22 15:54:55     1.43    2024-02-22 16:21:26
processing data ... 111/1219    2024-02-22 15:54:57     1.06    2024-02-22 16:14:36
processing data ... 112/1219    2024-02-22 15:54:58     1.55    2024-02-22 16:23:36
processing data ... 113/1219    2024-02-22 15:55:02     3.67    2024-02-22 17:02:37
processing data ... 114/1219    2024-02-22 15:55:04     1.87    2024-02-22 16:29:27
processing data ... 115/1219    2024-02-22 15:55:05     1.54    2024-02-22 16:23:25
processing data ... 116/1219    2024-02-22 15:55:08     2.53    2024-02-22 16:41:39
processing data ... 117/1219    2024-02-22 15:55:10     2.45    2024-02-22 16:40:07
processing data ... 118/1219    2024-02-22 15:55:13     3.08    2024-02-22 16:51:39
processing data ... 119/1219    2024-02-22 15:55:15     1.7     2024-02-22 16:26:20
processing data ... 120/1219    2024-02-22 15:55:18     2.98    2024-02-22 16:49:48
processing data ... 121/1219    2024-02-22 15:55:19     1.54    2024-02-22 16:23:28
processing data ... 122/1219    2024-02-22 15:55:22     2.87    2024-02-22 16:47:52
processing data ... 123/1219    2024-02-22 15:55:24     1.44    2024-02-22 16:21:46
processing data ... 124/1219    2024-02-22 15:55:25     1.42    2024-02-22 16:21:20
processing data ... 125/1219    2024-02-22 15:55:27     1.73    2024-02-22 16:26:56
processing data ... 126/1219    2024-02-22 15:55:28     1.44    2024-02-22 16:21:42
processing data ... 127/1219    2024-02-22 15:55:30     1.8     2024-02-22 16:28:13
processing data ... 128/1219    2024-02-22 15:55:32     1.59    2024-02-22 16:24:23
processing data ... 129/1219    2024-02-22 15:55:34     2.64    2024-02-22 16:43:37
processing data ... 130/1219    2024-02-22 15:55:36     1.17    2024-02-22 16:16:53
processing data ... 131/1219    2024-02-22 15:55:37     1.31    2024-02-22 16:19:17
processing data ... 132/1219    2024-02-22 15:55:38     1.48    2024-02-22 16:22:24
processing data ... 133/1219    2024-02-22 15:55:41     2.86    2024-02-22 16:47:31
processing data ... 134/1219    2024-02-22 15:55:46     5.05    2024-02-22 17:27:03
processing data ... 135/1219    2024-02-22 15:55:48     1.37    2024-02-22 16:20:32
processing data ... 136/1219    2024-02-22 15:55:49     1.2     2024-02-22 16:17:23
processing data ... 137/1219    2024-02-22 15:55:50     1.44    2024-02-22 16:21:51
processing data ... 138/1219    2024-02-22 15:55:52     1.48    2024-02-22 16:22:27
processing data ... 139/1219    2024-02-22 15:55:53     1.37    2024-02-22 16:20:30
processing data ... 140/1219    2024-02-22 15:55:55     1.6     2024-02-22 16:24:40
processing data ... 141/1219    2024-02-22 15:55:56     1.2     2024-02-22 16:17:31
processing data ... 142/1219    2024-02-22 15:55:58     1.69    2024-02-22 16:26:13
processing data ... 143/1219    2024-02-22 15:55:59     1.65    2024-02-22 16:25:35
processing data ... 144/1219    2024-02-22 15:56:00     1.09    2024-02-22 16:15:27
processing data ... 145/1219    2024-02-22 15:56:02     1.74    2024-02-22 16:27:06
processing data ... 146/1219    2024-02-22 15:56:06     3.55    2024-02-22 16:59:29
processing data ... 147/1219    2024-02-22 15:56:07     1.26    2024-02-22 16:18:41
processing data ... 148/1219    2024-02-22 15:56:09     2.61    2024-02-22 16:42:44
processing data ... 149/1219    2024-02-22 15:56:11     1.85    2024-02-22 16:29:14
processing data ... 150/1219    2024-02-22 15:56:13     2.16    2024-02-22 16:34:48
processing data ... 151/1219    2024-02-22 15:56:15     1.99    2024-02-22 16:31:42
processing data ... 152/1219    2024-02-22 15:56:18     2.25    2024-02-22 16:36:18
processing data ... 153/1219    2024-02-22 15:56:20     2.1     2024-02-22 16:33:43
processing data ... 154/1219    2024-02-22 15:56:21     1.09    2024-02-22 16:15:44
processing data ... 155/1219    2024-02-22 15:56:22     1.47    2024-02-22 16:22:31
processing data ... 156/1219    2024-02-22 15:56:24     1.86    2024-02-22 16:29:19
processing data ... 157/1219    2024-02-22 15:56:26     1.42    2024-02-22 16:21:39
processing data ... 158/1219    2024-02-22 15:56:34     8.21    2024-02-22 18:21:39
processing data ... 159/1219    2024-02-22 15:56:35     1.04    2024-02-22 16:14:55
processing data ... 160/1219    2024-02-22 15:56:36     1.47    2024-02-22 16:22:34
processing data ... 161/1219    2024-02-22 15:56:40     3.99    2024-02-22 17:07:05
processing data ... 162/1219    2024-02-22 15:56:45     4.39    2024-02-22 17:14:01
processing data ... 163/1219    2024-02-22 15:56:49     4.58    2024-02-22 17:17:26
processing data ... 164/1219    2024-02-22 15:56:52     2.2     2024-02-22 16:35:37
processing data ... 165/1219    2024-02-22 15:56:53     1.75    2024-02-22 16:27:39
processing data ... 166/1219    2024-02-22 15:56:55     1.49    2024-02-22 16:23:04
processing data ... 167/1219    2024-02-22 15:56:56     1.44    2024-02-22 16:22:11
processing data ... 168/1219    2024-02-22 15:57:00     3.41    2024-02-22 16:56:38
processing data ... 169/1219    2024-02-22 15:57:03     2.9     2024-02-22 16:47:48
