전체: 2156
완료: 937
미완: 1219

CT:  Current Time
ET:  Elasped Time
ETC: Estimated Time of Completion

                                CT                      ET      ETC
processing data ... 334/1219    2024-02-22 16:03:48     1.02    2024-02-22 16:18:51
processing data ... 335/1219    2024-02-22 16:03:49     1.11    2024-02-22 16:20:07
processing data ... 336/1219    2024-02-22 16:03:50     1.2     2024-02-22 16:21:32
processing data ... 337/1219    2024-02-22 16:03:52     1.48    2024-02-22 16:25:41
processing data ... 338/1219    2024-02-22 16:03:53     1.13    2024-02-22 16:20:32
processing data ... 339/1219    2024-02-22 16:03:58     4.73    2024-02-22 17:13:16
processing data ... 340/1219    2024-02-22 16:04:00     2.5     2024-02-22 16:40:34
processing data ... 341/1219    2024-02-22 16:04:02     1.6     2024-02-22 16:27:22
processing data ... 342/1219    2024-02-22 16:04:04     1.88    2024-02-22 16:31:31
processing data ... 343/1219    2024-02-22 16:04:05     1.39    2024-02-22 16:24:22
processing data ... 344/1219    2024-02-22 16:04:06     1.03    2024-02-22 16:19:12
processing data ... 345/1219    2024-02-22 16:04:07     1.13    2024-02-22 16:20:37
processing data ... 346/1219    2024-02-22 16:04:09     1.38    2024-02-22 16:24:17
processing data ... 347/1219    2024-02-22 16:04:10     1.34    2024-02-22 16:23:37
processing data ... 348/1219    2024-02-22 16:04:15     4.91    2024-02-22 17:15:31
processing data ... 349/1219    2024-02-22 16:04:19     4.5     2024-02-22 17:09:37
processing data ... 350/1219    2024-02-22 16:04:23     3.53    2024-02-22 16:55:31
processing data ... 351/1219    2024-02-22 16:04:26     2.76    2024-02-22 16:44:24
processing data ... 352/1219    2024-02-22 16:04:30     4.79    2024-02-22 17:13:46
processing data ... 353/1219    2024-02-22 16:04:32     1.5     2024-02-22 16:26:13
processing data ... 354/1219    2024-02-22 16:04:39     7.27    2024-02-22 17:49:26
processing data ... 355/1219    2024-02-22 16:04:42     2.69    2024-02-22 16:43:30
processing data ... 356/1219    2024-02-22 16:04:44     1.87    2024-02-22 16:31:39
processing data ... 357/1219    2024-02-22 16:04:45     1.66    2024-02-22 16:28:37
processing data ... 358/1219    2024-02-22 16:04:48     2.42    2024-02-22 16:39:35
processing data ... 359/1219    2024-02-22 16:04:49     1.65    2024-02-22 16:28:31
processing data ... 360/1219    2024-02-22 16:04:53     3.87    2024-02-22 17:00:19
processing data ... 361/1219    2024-02-22 16:04:55     1.39    2024-02-22 16:24:48
processing data ... 362/1219    2024-02-22 16:04:57     2.06    2024-02-22 16:34:25
processing data ... 363/1219    2024-02-22 16:05:00     2.98    2024-02-22 16:47:33
processing data ... 364/1219    2024-02-22 16:05:02     2.16    2024-02-22 16:35:50
processing data ... 365/1219    2024-02-22 16:05:03     1.52    2024-02-22 16:26:39
processing data ... 366/1219    2024-02-22 16:05:05     1.4     2024-02-22 16:25:01
processing data ... 367/1219    2024-02-22 16:05:06     0.95    2024-02-22 16:18:33
processing data ... 368/1219    2024-02-22 16:05:07     1.5     2024-02-22 16:26:23
processing data ... 369/1219    2024-02-22 16:05:09     1.25    2024-02-22 16:22:55
processing data ... 370/1219    2024-02-22 16:05:12     3.76    2024-02-22 16:58:25
processing data ... 371/1219    2024-02-22 16:05:14     1.58    2024-02-22 16:27:33
processing data ... 372/1219    2024-02-22 16:05:15     1.2     2024-02-22 16:22:08
processing data ... 373/1219    2024-02-22 16:05:16     1.33    2024-02-22 16:24:06
processing data ... 374/1219    2024-02-22 16:05:18     1.08    2024-02-22 16:20:33
processing data ... 375/1219    2024-02-22 16:05:19     1.09    2024-02-22 16:20:36
processing data ... 376/1219    2024-02-22 16:05:20     1.81    2024-02-22 16:30:45
processing data ... 377/1219    2024-02-22 16:05:22     1.52    2024-02-22 16:26:43
processing data ... 378/1219    2024-02-22 16:05:27     4.96    2024-02-22 17:14:58
processing data ... 379/1219    2024-02-22 16:05:33     5.92    2024-02-22 17:28:25
processing data ... 380/1219    2024-02-22 16:05:35     2.66    2024-02-22 16:42:43
processing data ... 381/1219    2024-02-22 16:05:38     2.44    2024-02-22 16:39:40
processing data ... 382/1219    2024-02-22 16:05:39     1.54    2024-02-22 16:27:05
processing data ... 383/1219    2024-02-22 16:05:41     1.37    2024-02-22 16:24:48
processing data ... 384/1219    2024-02-22 16:05:43     2.45    2024-02-22 16:39:47
processing data ... 385/1219    2024-02-22 16:05:46     2.28    2024-02-22 16:37:24
processing data ... 386/1219    2024-02-22 16:05:47     1.51    2024-02-22 16:26:47
processing data ... 387/1219    2024-02-22 16:05:49     1.69    2024-02-22 16:29:12
processing data ... 388/1219    2024-02-22 16:05:51     2.39    2024-02-22 16:38:54
processing data ... 389/1219    2024-02-22 16:05:56     4.93    2024-02-22 17:14:09
processing data ... 390/1219    2024-02-22 16:05:59     2.58    2024-02-22 16:41:36
processing data ... 391/1219    2024-02-22 16:06:01     2.74    2024-02-22 16:43:48
processing data ... 392/1219    2024-02-22 16:06:03     1.57    2024-02-22 16:27:44
processing data ... 393/1219    2024-02-22 16:06:05     1.56    2024-02-22 16:27:32
processing data ... 394/1219    2024-02-22 16:06:06     1.45    2024-02-22 16:26:01
processing data ... 395/1219    2024-02-22 16:06:07     1.22    2024-02-22 16:22:51
processing data ... 396/1219    2024-02-22 16:06:09     1.32    2024-02-22 16:24:14
processing data ... 397/1219    2024-02-22 16:06:10     1.46    2024-02-22 16:26:11
processing data ... 398/1219    2024-02-22 16:06:11     1.19    2024-02-22 16:22:27
processing data ... 399/1219    2024-02-22 16:06:13     1.59    2024-02-22 16:27:58
processing data ... 400/1219    2024-02-22 16:06:14     1.38    2024-02-22 16:25:04
processing data ... 401/1219    2024-02-22 16:06:16     1.51    2024-02-22 16:26:47
processing data ... 402/1219    2024-02-22 16:06:17     1.43    2024-02-22 16:25:44
processing data ... 403/1219    2024-02-22 16:06:18     1.13    2024-02-22 16:21:41
processing data ... 404/1219    2024-02-22 16:06:19     1.21    2024-02-22 16:22:44
processing data ... 405/1219    2024-02-22 16:06:21     1.54    2024-02-22 16:27:13
processing data ... 406/1219    2024-02-22 16:06:23     1.78    2024-02-22 16:30:30
processing data ... 407/1219    2024-02-22 16:06:24     1.55    2024-02-22 16:27:24
processing data ... 408/1219    2024-02-22 16:06:26     1.43    2024-02-22 16:25:45
processing data ... 409/1219    2024-02-22 16:06:28     2.31    2024-02-22 16:37:40
processing data ... 410/1219    2024-02-22 16:06:30     1.67    2024-02-22 16:29:03
processing data ... 411/1219    2024-02-22 16:06:33     3.39    2024-02-22 16:52:12
processing data ... 412/1219    2024-02-22 16:06:35     1.68    2024-02-22 16:29:08
processing data ... 413/1219    2024-02-22 16:06:37     1.81    2024-02-22 16:30:57
processing data ... 414/1219    2024-02-22 16:06:38     1.4     2024-02-22 16:25:23
processing data ... 415/1219    2024-02-22 16:06:39     1.46    2024-02-22 16:26:12
processing data ... 416/1219    2024-02-22 16:06:41     1.1     2024-02-22 16:21:25
processing data ... 417/1219    2024-02-22 16:06:42     1.33    2024-02-22 16:24:28
processing data ... 418/1219    2024-02-22 16:06:43     1.17    2024-02-22 16:22:19
processing data ... 419/1219    2024-02-22 16:06:44     1.02    2024-02-22 16:20:21
processing data ... 420/1219    2024-02-22 16:06:45     1.21    2024-02-22 16:22:54
processing data ... 421/1219    2024-02-22 16:06:46     1.02    2024-02-22 16:20:22
processing data ... 422/1219    2024-02-22 16:06:48     1.32    2024-02-22 16:24:22
processing data ... 423/1219    2024-02-22 16:06:49     1.45    2024-02-22 16:26:02
processing data ... 424/1219    2024-02-22 16:06:50     1.14    2024-02-22 16:21:59
processing data ... 425/1219    2024-02-22 16:06:52     1.45    2024-02-22 16:26:00
processing data ... 426/1219    2024-02-22 16:06:53     1.4     2024-02-22 16:25:22
processing data ... 427/1219    2024-02-22 16:06:54     0.99    2024-02-22 16:20:01
processing data ... 428/1219    2024-02-22 16:06:55     1.13    2024-02-22 16:21:48
processing data ... 429/1219    2024-02-22 16:06:56     1.01    2024-02-22 16:20:10
processing data ... 430/1219    2024-02-22 16:07:00     3.97    2024-02-22 16:59:12
processing data ... 431/1219    2024-02-22 16:07:02     1.55    2024-02-22 16:27:27
processing data ... 432/1219    2024-02-22 16:07:04     2.25    2024-02-22 16:36:34
processing data ... 433/1219    2024-02-22 16:07:06     1.57    2024-02-22 16:27:40
processing data ... 434/1219    2024-02-22 16:07:07     1.07    2024-02-22 16:21:06
processing data ... 435/1219    2024-02-22 16:07:10     3.2     2024-02-22 16:49:02
processing data ... 436/1219    2024-02-22 16:07:11     1.56    2024-02-22 16:27:31
processing data ... 437/1219    2024-02-22 16:07:13     1.49    2024-02-22 16:26:35
processing data ... 438/1219    2024-02-22 16:07:14     1.09    2024-02-22 16:21:24
processing data ... 439/1219    2024-02-22 16:07:15     1.4     2024-02-22 16:25:28
processing data ... 440/1219    2024-02-22 16:07:17     1.75    2024-02-22 16:29:59
processing data ... 441/1219    2024-02-22 16:07:18     1.11    2024-02-22 16:21:45
processing data ... 442/1219    2024-02-22 16:07:19     0.99    2024-02-22 16:20:11
processing data ... 443/1219    2024-02-22 16:07:21     1.54    2024-02-22 16:27:17
processing data ... 444/1219    2024-02-22 16:07:22     0.96    2024-02-22 16:19:44
processing data ... 445/1219    2024-02-22 16:07:23     1.1     2024-02-22 16:21:37
processing data ... 446/1219    2024-02-22 16:07:24     1.35    2024-02-22 16:24:46
processing data ... 447/1219    2024-02-22 16:07:26     1.54    2024-02-22 16:27:17
processing data ... 448/1219    2024-02-22 16:07:27     1.16    2024-02-22 16:22:22
processing data ... 449/1219    2024-02-22 16:07:28     1.01    2024-02-22 16:20:22
processing data ... 450/1219    2024-02-22 16:07:29     1.49    2024-02-22 16:26:33
processing data ... 451/1219    2024-02-22 16:07:31     1.28    2024-02-22 16:23:56
processing data ... 452/1219    2024-02-22 16:07:32     1.19    2024-02-22 16:22:48
processing data ... 453/1219    2024-02-22 16:07:34     1.91    2024-02-22 16:31:55
processing data ... 454/1219    2024-02-22 16:07:40     6.64    2024-02-22 17:32:19
processing data ... 455/1219    2024-02-22 16:07:42     1.48    2024-02-22 16:26:31
processing data ... 456/1219    2024-02-22 16:07:43     1.0     2024-02-22 16:20:23
processing data ... 457/1219    2024-02-22 16:07:44     1.29    2024-02-22 16:24:05
processing data ... 458/1219    2024-02-22 16:07:45     1.32    2024-02-22 16:24:31
processing data ... 459/1219    2024-02-22 16:07:47     1.51    2024-02-22 16:26:53
processing data ... 460/1219    2024-02-22 16:07:48     1.01    2024-02-22 16:20:34
processing data ... 461/1219    2024-02-22 16:08:14     26.34   2024-02-22 21:41:00
processing data ... 462/1219    2024-02-22 16:08:16     1.39    2024-02-22 16:25:49
processing data ... 463/1219    2024-02-22 16:08:17     1.54    2024-02-22 16:27:41
processing data ... 464/1219    2024-02-22 16:08:18     0.96    2024-02-22 16:20:25
processing data ... 465/1219    2024-02-22 16:08:20     1.48    2024-02-22 16:26:55
processing data ... 466/1219    2024-02-22 16:08:22     2.64    2024-02-22 16:41:32
processing data ... 467/1219    2024-02-22 16:08:23     1.06    2024-02-22 16:21:41
processing data ... 468/1219    2024-02-22 16:08:25     1.15    2024-02-22 16:22:51
processing data ... 469/1219    2024-02-22 16:08:26     1.44    2024-02-22 16:26:23
processing data ... 470/1219    2024-02-22 16:08:27     1.41    2024-02-22 16:26:01
processing data ... 471/1219    2024-02-22 16:08:29     1.31    2024-02-22 16:24:49
processing data ... 472/1219    2024-02-22 16:08:30     1.12    2024-02-22 16:22:25
processing data ... 473/1219    2024-02-22 16:08:31     1.02    2024-02-22 16:21:11
processing data ... 474/1219    2024-02-22 16:08:33     1.84    2024-02-22 16:31:23
processing data ... 475/1219    2024-02-22 16:08:34     1.17    2024-02-22 16:23:07
processing data ... 476/1219    2024-02-22 16:08:35     1.03    2024-02-22 16:21:17
processing data ... 477/1219    2024-02-22 16:08:36     1.34    2024-02-22 16:25:10
processing data ... 478/1219    2024-02-22 16:08:37     0.94    2024-02-22 16:20:16
processing data ... 479/1219    2024-02-22 16:08:39     1.53    2024-02-22 16:27:33
processing data ... 480/1219    2024-02-22 16:08:40     1.51    2024-02-22 16:27:17
processing data ... 481/1219    2024-02-22 16:08:41     1.07    2024-02-22 16:21:51
processing data ... 482/1219    2024-02-22 16:08:43     1.49    2024-02-22 16:27:04
processing data ... 483/1219    2024-02-22 16:08:50     7.44    2024-02-22 17:40:08
processing data ... 484/1219    2024-02-22 16:08:53     3.3     2024-02-22 16:49:19
processing data ... 485/1219    2024-02-22 16:08:55     1.82    2024-02-22 16:31:10
processing data ... 486/1219    2024-02-22 16:08:57     1.62    2024-02-22 16:28:44
processing data ... 487/1219    2024-02-22 16:08:59     2.53    2024-02-22 16:39:54
processing data ... 488/1219    2024-02-22 16:09:01     1.54    2024-02-22 16:27:43
processing data ... 489/1219    2024-02-22 16:09:02     1.41    2024-02-22 16:26:12
processing data ... 490/1219    2024-02-22 16:09:04     1.47    2024-02-22 16:26:57
processing data ... 491/1219    2024-02-22 16:09:05     1.57    2024-02-22 16:28:05
processing data ... 492/1219    2024-02-22 16:09:07     1.31    2024-02-22 16:24:56
processing data ... 493/1219    2024-02-22 16:09:08     1.12    2024-02-22 16:22:42
processing data ... 494/1219    2024-02-22 16:09:09     1.26    2024-02-22 16:24:23
processing data ... 495/1219    2024-02-22 16:09:10     1.11    2024-02-22 16:22:34
processing data ... 496/1219    2024-02-22 16:09:11     1.11    2024-02-22 16:22:37
processing data ... 497/1219    2024-02-22 16:09:13     1.33    2024-02-22 16:25:12
processing data ... 498/1219    2024-02-22 16:09:14     1.29    2024-02-22 16:24:41
processing data ... 499/1219    2024-02-22 16:09:15     0.93    2024-02-22 16:20:24
processing data ... 500/1219    2024-02-22 16:09:17     1.64    2024-02-22 16:28:58
processing data ... 501/1219    2024-02-22 16:09:19     2.16    2024-02-22 16:35:09
processing data ... 502/1219    2024-02-22 16:09:20     1.58    2024-02-22 16:28:13
processing data ... 503/1219    2024-02-22 16:09:22     1.43    2024-02-22 16:26:29
processing data ... 504/1219    2024-02-22 16:09:23     1.13    2024-02-22 16:22:49
processing data ... 505/1219    2024-02-22 16:09:25     2.04    2024-02-22 16:33:38
processing data ... 506/1219    2024-02-22 16:09:26     1.5     2024-02-22 16:27:14
processing data ... 507/1219    2024-02-22 16:09:28     1.73    2024-02-22 16:30:00
processing data ... 508/1219    2024-02-22 16:09:29     1.22    2024-02-22 16:23:54
processing data ... 509/1219    2024-02-22 16:09:30     1.03    2024-02-22 16:21:44
processing data ... 510/1219    2024-02-22 16:09:31     1.03    2024-02-22 16:21:43
processing data ... 511/1219    2024-02-22 16:09:32     1.01    2024-02-22 16:21:27
processing data ... 512/1219    2024-02-22 16:09:34     1.38    2024-02-22 16:25:48
processing data ... 513/1219    2024-02-22 16:09:35     1.21    2024-02-22 16:23:50
processing data ... 514/1219    2024-02-22 16:09:36     1.12    2024-02-22 16:22:44
processing data ... 515/1219    2024-02-22 16:09:37     1.11    2024-02-22 16:22:40
processing data ... 516/1219    2024-02-22 16:09:39     1.41    2024-02-22 16:26:11
processing data ... 517/1219    2024-02-22 16:09:40     1.02    2024-02-22 16:21:35
processing data ... 518/1219    2024-02-22 16:09:41     1.16    2024-02-22 16:23:14
processing data ... 519/1219    2024-02-22 16:09:42     1.47    2024-02-22 16:26:53
processing data ... 520/1219    2024-02-22 16:09:44     1.58    2024-02-22 16:28:07
processing data ... 521/1219    2024-02-22 16:09:45     1.48    2024-02-22 16:27:00
processing data ... 522/1219    2024-02-22 16:09:47     1.38    2024-02-22 16:25:48
processing data ... 523/1219    2024-02-22 16:09:48     1.48    2024-02-22 16:26:59
processing data ... 524/1219    2024-02-22 16:09:49     1.15    2024-02-22 16:23:06
processing data ... 525/1219    2024-02-22 16:09:51     1.39    2024-02-22 16:25:53
processing data ... 526/1219    2024-02-22 16:09:52     1.32    2024-02-22 16:25:10
processing data ... 527/1219    2024-02-22 16:09:54     1.57    2024-02-22 16:27:58
processing data ... 528/1219    2024-02-22 16:09:55     1.54    2024-02-22 16:27:37
processing data ... 529/1219    2024-02-22 16:09:57     1.58    2024-02-22 16:28:04
processing data ... 530/1219    2024-02-22 16:09:58     1.26    2024-02-22 16:24:28
processing data ... 531/1219    2024-02-22 16:10:03     5.42    2024-02-22 17:12:15
processing data ... 532/1219    2024-02-22 16:10:05     1.23    2024-02-22 16:24:13
processing data ... 533/1219    2024-02-22 16:10:06     1.18    2024-02-22 16:23:33
processing data ... 534/1219    2024-02-22 16:10:07     1.33    2024-02-22 16:25:15
processing data ... 535/1219    2024-02-22 16:10:09     1.6     2024-02-22 16:28:26
processing data ... 536/1219    2024-02-22 16:10:10     1.38    2024-02-22 16:25:55
processing data ... 537/1219    2024-02-22 16:10:11     1.05    2024-02-22 16:22:11
processing data ... 538/1219    2024-02-22 16:10:13     1.46    2024-02-22 16:26:49
processing data ... 539/1219    2024-02-22 16:10:14     1.47    2024-02-22 16:26:55
processing data ... 540/1219    2024-02-22 16:10:15     1.08    2024-02-22 16:22:25
processing data ... 541/1219    2024-02-22 16:10:17     1.49    2024-02-22 16:27:07
processing data ... 542/1219    2024-02-22 16:10:18     0.99    2024-02-22 16:21:26
processing data ... 543/1219    2024-02-22 16:10:19     1.73    2024-02-22 16:29:51
processing data ... 544/1219    2024-02-22 16:10:21     1.43    2024-02-22 16:26:26
processing data ... 545/1219    2024-02-22 16:10:22     1.3     2024-02-22 16:24:56
processing data ... 546/1219    2024-02-22 16:10:24     2.0     2024-02-22 16:32:51
processing data ... 547/1219    2024-02-22 16:10:25     1.12    2024-02-22 16:22:58
processing data ... 548/1219    2024-02-22 16:10:27     1.71    2024-02-22 16:29:37
processing data ... 549/1219    2024-02-22 16:10:28     1.19    2024-02-22 16:23:46
processing data ... 550/1219    2024-02-22 16:10:29     1.05    2024-02-22 16:22:10
processing data ... 551/1219    2024-02-22 16:10:30     1.11    2024-02-22 16:22:50
processing data ... 552/1219    2024-02-22 16:10:32     1.39    2024-02-22 16:25:58
processing data ... 553/1219    2024-02-22 16:10:33     1.36    2024-02-22 16:25:40
processing data ... 554/1219    2024-02-22 16:10:34     1.02    2024-02-22 16:21:52
processing data ... 555/1219    2024-02-22 16:10:38     3.67    2024-02-22 16:51:16
processing data ... 556/1219    2024-02-22 16:10:39     1.53    2024-02-22 16:27:35
processing data ... 557/1219    2024-02-22 16:10:41     1.56    2024-02-22 16:27:54
processing data ... 558/1219    2024-02-22 16:10:42     1.0     2024-02-22 16:21:40
processing data ... 559/1219    2024-02-22 16:10:43     1.21    2024-02-22 16:24:04
processing data ... 560/1219    2024-02-22 16:10:45     1.52    2024-02-22 16:27:25
processing data ... 561/1219    2024-02-22 16:10:46     1.12    2024-02-22 16:23:03
processing data ... 562/1219    2024-02-22 16:10:47     1.64    2024-02-22 16:28:42
processing data ... 563/1219    2024-02-22 16:10:49     1.77    2024-02-22 16:30:08
processing data ... 564/1219    2024-02-22 16:10:51     1.74    2024-02-22 16:29:48
processing data ... 565/1219    2024-02-22 16:10:52     1.55    2024-02-22 16:27:47
processing data ... 566/1219    2024-02-22 16:10:54     1.43    2024-02-22 16:26:28
processing data ... 567/1219    2024-02-22 16:10:55     1.52    2024-02-22 16:27:26
processing data ... 568/1219    2024-02-22 16:10:56     1.1     2024-02-22 16:22:55
processing data ... 569/1219    2024-02-22 16:10:58     1.16    2024-02-22 16:23:34
processing data ... 570/1219    2024-02-22 16:10:59     0.97    2024-02-22 16:21:30
processing data ... 571/1219    2024-02-22 16:11:00     1.57    2024-02-22 16:27:59
processing data ... 572/1219    2024-02-22 16:11:01     1.16    2024-02-22 16:23:30
processing data ... 573/1219    2024-02-22 16:11:03     1.49    2024-02-22 16:27:07
processing data ... 574/1219    2024-02-22 16:11:04     1.13    2024-02-22 16:23:15
processing data ... 575/1219    2024-02-22 16:11:05     1.1     2024-02-22 16:22:55
processing data ... 576/1219    2024-02-22 16:11:06     1.38    2024-02-22 16:25:53
processing data ... 577/1219    2024-02-22 16:11:08     1.42    2024-02-22 16:26:17
processing data ... 578/1219    2024-02-22 16:11:09     1.56    2024-02-22 16:27:46
processing data ... 579/1219    2024-02-22 16:11:11     1.18    2024-02-22 16:23:46
processing data ... 580/1219    2024-02-22 16:11:13     2.4     2024-02-22 16:36:43
processing data ... 581/1219    2024-02-22 16:11:15     1.56    2024-02-22 16:27:49
processing data ... 582/1219    2024-02-22 16:11:16     1.31    2024-02-22 16:25:11
processing data ... 583/1219    2024-02-22 16:11:18     2.45    2024-02-22 16:37:15
processing data ... 584/1219    2024-02-22 16:11:19     1.16    2024-02-22 16:23:35
processing data ... 585/1219    2024-02-22 16:11:21     1.25    2024-02-22 16:24:36
processing data ... 586/1219    2024-02-22 16:11:22     1.19    2024-02-22 16:23:56
processing data ... 587/1219    2024-02-22 16:11:23     1.54    2024-02-22 16:27:39
processing data ... 588/1219    2024-02-22 16:11:25     1.61    2024-02-22 16:28:22
processing data ... 589/1219    2024-02-22 16:11:26     1.16    2024-02-22 16:23:38
processing data ... 590/1219    2024-02-22 16:11:28     1.64    2024-02-22 16:28:39
processing data ... 591/1219    2024-02-22 16:11:29     1.33    2024-02-22 16:25:24
processing data ... 592/1219    2024-02-22 16:11:31     1.36    2024-02-22 16:25:41
processing data ... 593/1219    2024-02-22 16:11:32     1.89    2024-02-22 16:31:14
processing data ... 594/1219    2024-02-22 16:11:34     1.27    2024-02-22 16:24:48
processing data ... 595/1219    2024-02-22 16:11:36     1.97    2024-02-22 16:32:05
processing data ... 596/1219    2024-02-22 16:11:37     1.28    2024-02-22 16:24:52
processing data ... 597/1219    2024-02-22 16:11:39     1.7     2024-02-22 16:29:16
processing data ... 598/1219    2024-02-22 16:11:40     1.24    2024-02-22 16:24:27
processing data ... 599/1219    2024-02-22 16:11:41     1.1     2024-02-22 16:23:04
processing data ... 600/1219    2024-02-22 16:11:42     1.11    2024-02-22 16:23:09
processing data ... 601/1219    2024-02-22 16:11:43     1.28    2024-02-22 16:24:52
processing data ... 602/1219    2024-02-22 16:11:45     1.82    2024-02-22 16:30:29
processing data ... 603/1219    2024-02-22 16:11:46     1.1     2024-02-22 16:23:06
processing data ... 604/1219    2024-02-22 16:11:48     1.51    2024-02-22 16:27:17
processing data ... 605/1219    2024-02-22 16:11:49     1.39    2024-02-22 16:26:05
processing data ... 606/1219    2024-02-22 16:11:51     1.44    2024-02-22 16:26:31
processing data ... 607/1219    2024-02-22 16:11:52     1.07    2024-02-22 16:22:47
processing data ... 608/1219    2024-02-22 16:11:54     1.8     2024-02-22 16:30:15
processing data ... 609/1219    2024-02-22 16:11:55     1.7     2024-02-22 16:29:11
processing data ... 610/1219    2024-02-22 16:11:57     1.39    2024-02-22 16:26:00
processing data ... 611/1219    2024-02-22 16:11:58     1.71    2024-02-22 16:29:15
processing data ... 612/1219    2024-02-22 16:12:00     1.99    2024-02-22 16:32:07
processing data ... 613/1219    2024-02-22 16:12:02     1.56    2024-02-22 16:27:45
processing data ... 614/1219    2024-02-22 16:12:04     1.71    2024-02-22 16:29:16
processing data ... 615/1219    2024-02-22 16:12:06     2.38    2024-02-22 16:36:01
processing data ... 616/1219    2024-02-22 16:12:09     2.89    2024-02-22 16:41:11
processing data ... 617/1219    2024-02-22 16:12:12     3.49    2024-02-22 16:47:10
processing data ... 618/1219    2024-02-22 16:12:14     1.82    2024-02-22 16:30:25
processing data ... 619/1219    2024-02-22 16:12:16     1.77    2024-02-22 16:29:58
processing data ... 620/1219    2024-02-22 16:12:18     1.76    2024-02-22 16:29:49
processing data ... 621/1219    2024-02-22 16:12:20     1.87    2024-02-22 16:30:57
processing data ... 622/1219    2024-02-22 16:12:21     1.78    2024-02-22 16:30:01
processing data ... 623/1219    2024-02-22 16:12:23     1.58    2024-02-22 16:28:03
processing data ... 624/1219    2024-02-22 16:12:25     2.22    2024-02-22 16:34:23
processing data ... 625/1219    2024-02-22 16:12:27     2.37    2024-02-22 16:35:55
processing data ... 626/1219    2024-02-22 16:12:29     1.69    2024-02-22 16:29:12
processing data ... 627/1219    2024-02-22 16:12:31     2.09    2024-02-22 16:33:11
processing data ... 628/1219    2024-02-22 16:12:33     1.9     2024-02-22 16:31:14
processing data ... 629/1219    2024-02-22 16:12:36     2.44    2024-02-22 16:36:38
processing data ... 630/1219    2024-02-22 16:12:37     1.75    2024-02-22 16:29:51
processing data ... 631/1219    2024-02-22 16:12:39     1.93    2024-02-22 16:31:34
processing data ... 632/1219    2024-02-22 16:12:41     1.79    2024-02-22 16:30:14
processing data ... 633/1219    2024-02-22 16:12:47     6.27    2024-02-22 17:13:59
processing data ... 634/1219    2024-02-22 16:12:49     1.8     2024-02-22 16:30:24
processing data ... 635/1219    2024-02-22 16:12:51     1.82    2024-02-22 16:30:33
processing data ... 636/1219    2024-02-22 16:12:53     1.82    2024-02-22 16:30:32
processing data ... 637/1219    2024-02-22 16:12:55     2.28    2024-02-22 16:35:03
processing data ... 638/1219    2024-02-22 16:12:57     1.55    2024-02-22 16:27:54
processing data ... 639/1219    2024-02-22 16:12:58     1.79    2024-02-22 16:30:18
processing data ... 640/1219    2024-02-22 16:13:00     1.62    2024-02-22 16:28:36
processing data ... 641/1219    2024-02-22 16:13:02     1.76    2024-02-22 16:29:56
processing data ... 642/1219    2024-02-22 16:13:04     1.91    2024-02-22 16:31:28
processing data ... 643/1219    2024-02-22 16:13:06     2.11    2024-02-22 16:33:22
processing data ... 644/1219    2024-02-22 16:13:08     1.95    2024-02-22 16:31:51
processing data ... 645/1219    2024-02-22 16:13:10     2.0     2024-02-22 16:32:16
processing data ... 646/1219    2024-02-22 16:13:12     1.94    2024-02-22 16:31:43
processing data ... 647/1219    2024-02-22 16:13:13     1.74    2024-02-22 16:29:47
processing data ... 648/1219    2024-02-22 16:13:15     1.94    2024-02-22 16:31:43
processing data ... 649/1219    2024-02-22 16:13:17     1.87    2024-02-22 16:31:03
processing data ... 650/1219    2024-02-22 16:13:19     2.03    2024-02-22 16:32:32
processing data ... 651/1219    2024-02-22 16:13:21     1.8     2024-02-22 16:30:25
processing data ... 652/1219    2024-02-22 16:13:23     1.94    2024-02-22 16:31:42
processing data ... 653/1219    2024-02-22 16:13:25     1.86    2024-02-22 16:30:58
processing data ... 654/1219    2024-02-22 16:13:27     1.71    2024-02-22 16:29:32
processing data ... 655/1219    2024-02-22 16:13:28     1.96    2024-02-22 16:31:54
processing data ... 656/1219    2024-02-22 16:13:30     1.58    2024-02-22 16:28:19
processing data ... 657/1219    2024-02-22 16:13:32     1.44    2024-02-22 16:26:59
processing data ... 658/1219    2024-02-22 16:13:34     2.15    2024-02-22 16:33:42
processing data ... 659/1219    2024-02-22 16:13:36     1.86    2024-02-22 16:30:59
processing data ... 660/1219    2024-02-22 16:13:37     1.77    2024-02-22 16:30:08
processing data ... 661/1219    2024-02-22 16:13:39     1.58    2024-02-22 16:28:23
processing data ... 662/1219    2024-02-22 16:13:41     1.88    2024-02-22 16:31:09
processing data ... 663/1219    2024-02-22 16:13:43     2.4     2024-02-22 16:35:56
processing data ... 664/1219    2024-02-22 16:13:45     1.66    2024-02-22 16:29:05
processing data ... 665/1219    2024-02-22 16:13:47     1.87    2024-02-22 16:31:02
processing data ... 666/1219    2024-02-22 16:13:49     2.05    2024-02-22 16:32:41
processing data ... 667/1219    2024-02-22 16:13:53     3.96    2024-02-22 16:50:16
processing data ... 668/1219    2024-02-22 16:13:54     1.23    2024-02-22 16:25:12
processing data ... 669/1219    2024-02-22 16:13:55     1.24    2024-02-22 16:25:19
processing data ... 670/1219    2024-02-22 16:13:57     1.4     2024-02-22 16:26:47
processing data ... 671/1219    2024-02-22 16:13:58     1.42    2024-02-22 16:26:55
processing data ... 672/1219    2024-02-22 16:13:59     1.15    2024-02-22 16:24:30
